AB,atom_A,atom_B,structure,volume_per_atom,form_en_per_atom,bandgap
CaPm,Ca,Pm,s7,39.24,0.65,0.00
IZr,I,Zr,s7,31.81,-0.15,0.00
RuLa,Ru,La,s7,25.23,0.51,0.00
IrGd,Ir,Gd,s7,25.76,0.00,0.00
IHf,I,Hf,s7,29.36,0.17,0.00
RuHf,Ru,Hf,s7,19.85,-0.05,0.00
SrRu,Sr,Ru,s7,29.10,0.99,0.00
TcGd,Tc,Gd,s7,23.39,1.15,0.00
PbMn,Pb,Mn,s7,21.49,0.72,0.00
ZnYb,Zn,Yb,s7,31.17,0.16,0.00
InCl,In,Cl,s7,34.49,-0.83,1.76
SeZr,Se,Zr,s7,22.78,-0.88,0.00
OHo,O,Ho,s7,17.03,-2.81,0.00
GeZn,Ge,Zn,s7,19.10,0.35,0.00
ZnEu,Zn,Eu,s7,26.28,0.00,0.00
RhEr,Rh,Er,s7,23.68,-0.26,0.00
AlRh,Al,Rh,s7,16.02,-0.47,0.00
MgNi,Mg,Ni,s7,16.78,0.44,0.00
PdNd,Pd,Nd,s7,30.22,-0.32,0.00
PTm,P,Tm,s7,30.06,-1.26,0.02
RbGd,Rb,Gd,s7,42.79,-0.49,4.42
BaOs,Ba,Os,s7,33.13,1.33,0.00
CsYb,Cs,Yb,s7,85.80,0.45,0.00
FV,F,V,s7,11.69,-1.57,0.00
OEr,O,Er,s7,16.65,-2.82,0.00
NAs,N,As,s7,18.62,-2.24,1.43
AsSb,As,Sb,s7,25.19,0.08,0.00
SOs,S,Os,s7,15.38,0.49,0.00
InPd,In,Pd,s7,21.28,-0.25,0.00
PCl,P,Cl,s7,36.68,0.57,0.00
BeZr,Be,Zr,s7,16.64,0.28,0.00
ZrIr,Zr,Ir,s7,20.54,-0.59,0.00
TiRu,Ti,Ru,s7,17.14,0.00,0.00
NBi,N,Bi,s7,20.48,-1.95,0.72
TeHo,Te,Ho,s7,35.42,-1.20,0.00
IrEr,Ir,Er,s7,24.45,-0.04,0.00
IPd,I,Pd,s7,24.38,0.06,0.00
PbYb,Pb,Yb,s7,38.34,0.06,0.00
YHf,Y,Hf,s7,29.62,0.82,0.00
BeTc,Be,Tc,s7,11.99,0.39,0.00
SrOs,Sr,Os,s7,29.62,1.30,0.00
AlPm,Al,Pm,s7,28.55,0.00,0.00
PIr,P,Ir,s7,15.65,-0.07,0.00
CNi,C,Ni,s7,9.18,1.30,0.00
OEu,O,Eu,s7,18.63,-2.72,0.00
GaHo,Ga,Ho,s7,29.27,0.13,0.00
TlRu,Tl,Ru,s7,21.21,0.86,0.00
TlP,Tl,P,s7,27.99,0.15,0.00
MgOs,Mg,Os,s7,18.45,0.57,0.00
POs,P,Os,s7,14.39,0.00,0.00
SiZr,Si,Zr,s7,20.44,-0.36,0.00
CaTl,Ca,Tl,s7,34.50,-0.15,0.00
NbTc,Nb,Tc,s7,18.09,0.40,0.00
TlOs,Tl,Os,s7,21.95,1.31,0.00
SnNb,Sn,Nb,s7,23.39,0.44,0.00
GeTa,Ge,Ta,s7,19.79,0.38,0.00
LiCu,Li,Cu,s7,16.24,0.50,0.00
TePd,Te,Pd,s7,22.10,-0.21,0.00
NaSr,Na,Sr,s7,34.16,-1.54,4.09
BeBa,Be,Ba,s7,40.21,1.00,0.00
BaBr,Ba,Br,s7,44.20,-1.48,0.00
SbMo,Sb,Mo,s7,21.76,0.35,0.00
STb,S,Tb,s7,25.06,-1.77,0.00
WTb,W,Tb,s7,24.13,1.88,0.00
AsCl,As,Cl,s7,30.09,0.10,0.00
VMo,V,Mo,s7,15.49,0.50,0.00
SrC,Sr,C,s7,24.08,1.58,0.00
MgAs,Mg,As,s7,21.92,-0.27,0.00
KYb,K,Yb,s7,38.58,-2.06,4.54
PmEu,Pm,Eu,s7,34.95,0.67,0.00
TeTi,Te,Ti,s7,22.96,-0.23,0.00
MoPm,Mo,Pm,s7,25.06,1.55,0.00
SnAg,Sn,Ag,s7,24.76,0.16,0.00
CaMn,Ca,Mn,s7,28.63,0.85,0.00
BFe,B,Fe,s7,8.60,0.18,0.00
GaLu,Ga,Lu,s7,24.60,-0.23,0.00
FeHo,Fe,Ho,s7,21.00,1.08,0.00
SbSe,Sb,Se,s7,27.14,-0.07,0.00
BiYb,Bi,Yb,s7,55.50,-0.08,0.00
MgW,Mg,W,s7,21.13,1.52,0.00
LiCr,Li,Cr,s7,16.18,0.95,0.00
KCd,K,Cd,s7,38.62,-2.44,4.53
SbI,Sb,I,s7,39.76,0.08,0.00
NZr,N,Zr,s7,14.80,-4.00,0.00
GeAs,Ge,As,s7,21.70,0.14,0.00
ErLu,Er,Lu,s7,33.58,0.82,0.00
AgHg,Ag,Hg,s7,24.46,0.25,0.00
NaGd,Na,Gd,s7,36.15,-0.06,4.10
SiHf,Si,Hf,s7,19.83,-0.25,0.00
NaPt,Na,Pt,s7,34.16,0.67,4.09
GaZn,Ga,Zn,s7,19.49,0.24,0.00
CGe,C,Ge,s7,11.75,1.42,0.00
BaO,Ba,O,s7,25.14,-2.33,1.81
AlN,Al,N,s7,11.83,-3.56,2.71
SnCd,Sn,Cd,s7,28.10,0.15,0.00
TlSb,Tl,Sb,s7,34.86,0.13,0.00
SZn,S,Zn,s7,22.53,-0.36,0.55
InAs,In,As,s7,24.75,-0.02,0.00
CaO,Ca,O,s7,18.02,-2.75,2.13
CuAu,Cu,Au,s7,18.13,0.49,0.00
AlBi,Al,Bi,s7,28.23,0.28,0.00
IAu,I,Au,s7,29.68,0.16,0.00
LiI,Li,I,s7,33.33,-1.18,3.98
SrO,Sr,O,s7,21.68,-2.53,1.72
GaSb,Ga,Sb,s7,26.45,0.06,0.00
SnSb,Sn,Sb,s7,29.65,0.02,0.00
AlV,Al,V,s7,16.81,0.71,0.00
BP,B,P,s7,10.95,0.69,0.00
NaBr,Na,Br,s7,36.28,-1.54,4.12
PbTe,Pb,Te,s7,44.04,-0.10,0.00
PTa,P,Ta,s8,15.15,-0.57,0.00
ClPm,Cl,Pm,s8,26.19,-1.38,0.03
CaDy,Ca,Dy,s8,35.30,0.16,0.00
SmYb,Sm,Yb,s8,35.10,0.09,0.00
NaHo,Na,Ho,s8,27.05,-0.15,3.99
PHf,P,Hf,s8,18.09,-1.11,0.00
LiSc,Li,Sc,s8,21.74,0.36,0.00
CsZn,Cs,Zn,s8,48.43,0.21,0.00
NSc,N,Sc,s8,11.52,-4.48,0.00
MgAu,Mg,Au,s8,18.37,-0.54,0.00
TeCl,Te,Cl,s8,31.84,-0.14,0.00
MgZn,Mg,Zn,s8,18.03,0.01,0.00
NAu,N,Au,s8,12.56,-0.94,0.00
LiPt,Li,Pt,s8,13.91,-0.38,0.00
CZn,C,Zn,s8,13.04,0.67,0.00
OPm,O,Pm,s8,15.58,-2.77,0.00
MgBr,Mg,Br,s8,27.22,-0.91,0.00
KW,K,W,s8,32.50,4.63,5.02
GaCu,Ga,Cu,s8,14.44,0.17,0.00
CaYb,Ca,Yb,s8,41.34,0.02,0.00
NaSc,Na,Sc,s8,27.08,0.77,3.98
NaOs,Na,Os,s8,27.08,3.79,3.98
AlGd,Al,Gd,s8,25.98,-0.38,0.00
CTe,C,Te,s8,22.34,0.74,0.00
BZr,B,Zr,s8,13.51,-0.68,0.00
KC,K,C,s8,32.51,1.73,5.02
InN,In,N,s8,13.17,-2.34,0.00
GaSc,Ga,Sc,s8,20.20,-0.54,0.00
NaC,Na,C,s8,27.08,2.21,3.98
AuPr,Au,Pr,s8,26.22,-0.76,0.00
SRu,S,Ru,s8,14.63,-0.04,0.00
TcOs,Tc,Os,s8,14.30,0.06,0.00
BiZn,Bi,Zn,s8,25.51,0.21,0.00
BY,B,Y,s8,17.94,-0.36,0.00
GaAg,Ga,Ag,s8,18.44,0.04,0.00
OYb,O,Yb,s8,13.02,-3.23,3.24
LiCe,Li,Ce,s8,28.10,0.14,0.00
PAu,P,Au,s8,18.03,0.27,0.00
NiSm,Ni,Sm,s8,21.35,-0.22,0.00
BeTb,Be,Tb,s8,19.75,0.02,0.00
LiSr,Li,Sr,s8,39.01,0.03,0.00
ZrHg,Zr,Hg,s8,21.91,-0.12,0.00
PdAu,Pd,Au,s8,22.85,0.26,0.00
ITm,I,Tm,s8,30.90,-0.58,0.00
ZnNb,Zn,Nb,s8,16.61,0.22,0.00
SbO,Sb,O,s8,20.32,-0.93,0.00
LiOs,Li,Os,s8,13.68,0.19,0.00
PtTb,Pt,Tb,s8,23.74,-1.13,0.00
ClMo,Cl,Mo,s8,16.86,0.55,0.00
TlTi,Tl,Ti,s8,21.38,0.37,0.00
SiIr,Si,Ir,s8,14.06,-0.41,0.00
BiNd,Bi,Nd,s8,34.60,-0.95,0.00
SrS,Sr,S,s8,32.45,-2.02,2.76
PCe,P,Ce,s8,27.07,-1.50,0.00
TiPt,Ti,Pt,s8,15.70,-0.87,0.00
AlW,Al,W,s8,15.47,-0.01,0.00
FeOs,Fe,Os,s8,12.38,0.22,0.00
VCr,V,Cr,s8,12.32,-0.02,0.00
FPm,F,Pm,s8,18.95,-2.34,0.00
SEr,S,Er,s8,20.58,-1.93,0.00
LiZn,Li,Zn,s8,14.86,-0.13,0.00
NaTm,Na,Tm,s8,27.08,-0.18,3.98
LiCo,Li,Co,s8,10.34,0.55,0.00
SnTe,Sn,Te,s8,32.21,-0.26,0.19
TeZn,Te,Zn,s8,31.61,-0.28,1.12
BaSe,Ba,Se,s8,37.31,-2.05,1.95
PdFe,Pd,Fe,s8,13.80,0.05,0.00
BeSe,Be,Se,s8,24.18,-0.56,3.38
MgS,Mg,S,s8,17.80,-1.38,3.34
NaCl,Na,Cl,s8,26.11,-1.45,3.86
TeHg,Te,Hg,s8,42.35,-0.08,0.23
NaK,Na,K,s8,27.09,-1.88,4.00
TlP,Tl,P,s8,23.91,0.43,0.00
SiGe,Si,Ge,s8,17.74,0.38,0.00
InN,In,N,s8,13.17,-2.34,0.00
FeNi,Fe,Ni,s8,10.43,0.35,0.00
NiMo,Ni,Mo,s8,13.25,0.21,0.00
InP,In,P,s8,21.42,0.02,0.00
BaTe,Ba,Te,s8,44.53,-1.79,1.60
PdPt,Pd,Pt,s8,15.31,-0.02,0.00
NiPd,Ni,Pd,s8,13.29,0.21,0.00
LiBr,Li,Br,s8,20.56,-1.53,4.88
AgAu,Ag,Au,s8,17.87,-0.05,0.00
AlGa,Al,Ga,s8,18.27,0.08,0.00
CsF,Cs,F,s8,28.19,-2.65,5.28
TlN,Tl,N,s8,15.60,-1.44,0.00
CuMg,Cu,Mg,s8,15.72,0.09,0.00
GaP,Ga,P,s8,19.93,-0.02,0.00
NaK,Na,K,s8,27.09,-1.88,4.00
AlP,Al,P,s8,16.25,-0.35,0.00
RbCl,Rb,Cl,s8,37.64,-1.95,4.82
GaAs,Ga,As,s8,22.59,-0.04,0.00
FCu,F,Cu,s8,11.56,-0.67,0.00
InDy,In,Dy,s9,27.74,-0.42,0.00
BeTm,Be,Tm,s9,19.53,0.07,0.00
GeSn,Ge,Sn,s9,24.26,0.16,0.00
RuCe,Ru,Ce,s9,26.20,-0.05,0.00
AlSn,Al,Sn,s9,23.34,0.15,0.00
ClCu,Cl,Cu,s9,19.92,-0.04,0.36
NiHf,Ni,Hf,s9,16.31,-0.37,0.00
VMn,V,Mn,s9,11.90,-0.12,0.00
CaMo,Ca,Mo,s9,25.90,0.60,0.00
CuDy,Cu,Dy,s9,21.57,-0.08,0.00
MoW,Mo,W,s9,16.34,0.38,0.00
BiS,Bi,S,s9,25.39,-0.12,0.00
BeIn,Be,In,s9,17.06,0.35,0.00
SiS,Si,S,s9,18.29,0.01,0.00
OsGd,Os,Gd,s9,24.21,-0.14,0.00
OsCe,Os,Ce,s9,26.70,0.02,0.00
TlY,Tl,Y,s9,28.82,-0.33,0.00
SHf,S,Hf,s9,20.95,-1.20,0.00
NRu,N,Ru,s9,10.21,-1.97,0.00
BePb,Be,Pb,s9,20.17,0.50,0.00
BrW,Br,W,s9,21.20,0.90,0.00
NbCe,Nb,Ce,s9,28.12,0.48,0.00
BeGe,Be,Ge,s9,13.63,0.32,0.00
NaMn,Na,Mn,s9,30.26,2.22,3.87
SnSm,Sn,Sm,s9,29.36,-0.77,0.00
RbI,Rb,I,s9,35.32,-2.07,4.67
KAl,K,Al,s9,31.10,-0.95,4.76
PmHo,Pm,Ho,s9,32.99,0.03,0.00
InZn,In,Zn,s9,22.12,0.13,0.00
HgCe,Hg,Ce,s9,30.25,-0.44,0.00
BaCe,Ba,Ce,s9,47.11,0.18,0.00
MoRe,Mo,Re,s9,15.61,0.21,0.00
SGd,S,Gd,s9,22.81,-1.84,0.00
AlO,Al,O,s9,9.94,-1.97,0.00
SnRh,Sn,Rh,s9,17.96,-0.39,0.00
LiHg,Li,Hg,s9,19.98,-0.32,0.00
NbTa,Nb,Ta,s9,19.04,0.35,0.00
RbCe,Rb,Ce,s9,35.32,-0.46,4.67
GeS,Ge,S,s9,21.03,-0.22,0.59
ClDy,Cl,Dy,s9,23.10,-1.14,0.00
LaAu,La,Au,s9,28.06,-0.84,0.00
PGd,P,Gd,s9,22.74,-1.37,0.00
NaGe,Na,Ge,s9,30.26,-0.12,3.87
GaW,Ga,W,s9,16.75,0.48,0.00
MgTa,Mg,Ta,s9,20.50,0.56,0.00
NdSm,Nd,Sm,s9,34.69,0.03,0.00
HfGd,Hf,Gd,s9,27.08,0.44,0.00
TiPr,Ti,Pr,s9,26.08,0.56,0.00
KSm,K,Sm,s9,31.10,-0.51,4.76
CLa,C,La,s9,19.65,0.47,0.00
SrYb,Sr,Yb,s9,48.37,0.05,0.00
SrSn,Sr,Sn,s9,35.45,-0.67,0.00
BeOs,Be,Os,s9,10.87,-0.14,0.00
MgGd,Mg,Gd,s9,28.13,0.09,0.00
SiAu,Si,Au,s9,17.59,0.15,0.00
SrW,Sr,W,s9,29.73,1.00,0.00
RuNd,Ru,Nd,s9,25.18,-0.11,0.00
AlCu,Al,Cu,s9,13.79,0.01,0.00
InF,In,F,s9,19.58,-1.70,0.23
CaP,Ca,P,s9,22.13,-0.81,0.00
PdHo,Pd,Ho,s9,22.16,-0.94,0.00
CaAg,Ca,Ag,s9,27.43,-0.34,0.00
RbHf,Rb,Hf,s9,35.32,3.55,4.67
RbB,Rb,B,s9,35.32,0.53,4.67
LiBa,Li,Ba,s9,44.73,0.04,0.00
ScSm,Sc,Sm,s9,28.84,0.14,0.00
BiAg,Bi,Ag,s9,24.90,0.07,0.00
CsLu,Cs,Lu,s9,58.01,0.76,0.00
GaPb,Ga,Pb,s9,26.12,0.06,0.00
CrZr,Cr,Zr,s9,17.71,0.24,0.00
SrHf,Sr,Hf,s9,33.78,0.59,0.00
NiGd,Ni,Gd,s9,20.59,-0.28,0.00
SiBi,Si,Bi,s9,27.88,0.47,0.00
SbSc,Sb,Sc,s9,24.61,-0.74,0.00
CuZr,Cu,Zr,s9,17.63,0.05,0.00
BaTc,Ba,Tc,s9,33.53,0.64,0.00
NiMg,Ni,Mg,s9,15.76,0.10,0.00
SrS,Sr,S,s9,27.14,-1.97,2.33
SnAl,Sn,Al,s9,23.34,0.15,0.00
CeZr,Ce,Zr,s9,29.60,0.43,0.00
ICu,I,Cu,s9,31.27,0.24,0.69
FAu,F,Au,s9,14.29,-0.43,0.00
AlNi,Al,Ni,s9,12.57,-0.34,0.00
IAg,I,Ag,s9,32.73,-0.16,0.92
NaF,Na,F,s9,30.26,-1.47,3.87
CdPb,Cd,Pb,s9,28.38,0.03,0.00
BeAl,Be,Al,s9,12.58,0.12,0.00
ClCu,Cl,Cu,s9,19.92,-0.04,0.36
InBi,In,Bi,s9,31.89,0.04,0.00
PbSn,Pb,Sn,s9,29.94,0.05,0.00
AlSc,Al,Sc,s9,20.26,-0.37,0.00
LiCl,Li,Cl,s9,19.93,-1.78,5.73
CSn,C,Sn,s9,15.62,1.49,0.00
PdIr,Pd,Ir,s9,16.38,0.50,0.00
PTc,P,Tc,s9,14.09,-0.37,0.00
WRe,W,Re,s9,15.45,0.54,0.00
CuNb,Cu,Nb,s9,15.12,0.26,0.00
NaRh,Na,Rh,s9,30.05,0.83,3.89
LiRe,Li,Re,s9,14.69,0.22,0.00
FeCd,Fe,Cd,s9,16.35,0.36,0.00
BIn,B,In,s9,18.10,0.38,0.00
CdIr,Cd,Ir,s9,20.70,0.39,0.00
CuNi,Cu,Ni,s9,11.38,0.37,0.00
CoMo,Co,Mo,s9,13.05,0.07,0.00
TeMn,Te,Mn,s9,18.46,0.28,0.00
SiPb,Si,Pb,s9,24.89,0.32,0.00
CrRh,Cr,Rh,s9,12.86,-0.04,0.00
ScGd,Sc,Gd,s10,28.64,0.09,0.00
CuAg,Cu,Ag,s10,14.96,0.28,0.00
VCo,V,Co,s10,11.74,-0.03,0.00
AsDy,As,Dy,s10,23.91,-1.20,0.00
SnF,Sn,F,s10,22.35,-1.56,0.14
BaF,Ba,F,s10,23.17,-2.25,0.00
PV,P,V,s10,13.25,-0.58,0.00
PrTm,Pr,Tm,s10,33.43,0.01,0.00
BeSc,Be,Sc,s10,15.95,0.06,0.00
InLa,In,La,s10,33.01,-0.48,0.00
CaI,Ca,I,s10,37.93,-0.89,0.00
CTi,C,Ti,s10,9.76,-0.41,0.00
FeHf,Fe,Hf,s10,15.63,-0.04,0.00
SV,S,V,s10,13.42,-0.54,0.00
NaAg,Na,Ag,s10,28.13,-0.97,3.62
SiOs,Si,Os,s10,13.94,-0.08,0.00
SiPt,Si,Pt,s10,15.70,-0.41,0.00
AlAg,Al,Ag,s10,17.73,0.04,0.00
RuTm,Ru,Tm,s10,19.81,-0.26,0.00
RbZn,Rb,Zn,s10,33.44,-2.14,4.73
BeAs,Be,As,s10,14.40,0.31,0.00
HfSm,Hf,Sm,s10,27.13,0.22,0.00
SbDy,Sb,Dy,s10,28.18,-0.89,0.00
InCe,In,Ce,s10,32.55,-0.47,0.00
NaBe,Na,Be,s10,28.13,-0.45,3.62
ReGd,Re,Gd,s10,22.36,0.18,0.00
BaNd,Ba,Nd,s10,45.40,0.22,0.00
CTb,C,Tb,s10,15.11,-0.05,0.00
CsAu,Cs,Au,s10,43.06,-0.26,0.97
BaTm,Ba,Tm,s10,41.71,0.29,0.00
RbPt,Rb,Pt,s10,33.44,0.26,4.73
RbN,Rb,N,s10,33.44,-1.21,4.73
AuDy,Au,Dy,s10,24.18,-0.86,0.00
PCd,P,Cd,s10,20.99,0.13,0.00
BaTi,Ba,Ti,s10,35.56,0.68,0.00
SCl,S,Cl,s10,44.38,-0.15,2.73
VRu,V,Ru,s10,13.61,-0.15,0.00
SCo,S,Co,s10,17.41,-0.11,0.00
RbFe,Rb,Fe,s10,34.82,1.42,4.65
TiYb,Ti,Yb,s10,25.74,0.51,0.00
KMg,K,Mg,s10,29.72,-2.03,4.90
HgNd,Hg,Nd,s10,28.89,-0.36,0.00
AlSb,Al,Sb,s10,23.16,0.13,0.00
STa,S,Ta,s10,16.63,-0.31,0.00
NbEr,Nb,Er,s10,23.68,0.29,0.00
OsLu,Os,Lu,s10,20.05,-0.13,0.00
TlSm,Tl,Sm,s10,30.46,-0.33,0.00
BeBr,Be,Br,s10,22.11,-0.16,0.99
IHo,I,Ho,s10,30.52,-0.62,0.00
ClTb,Cl,Tb,s10,23.29,-1.28,0.00
RbCu,Rb,Cu,s10,33.44,-0.72,4.73
AgCd,Ag,Cd,s10,19.51,-0.06,0.00
RbMn,Rb,Mn,s10,33.44,1.81,4.73
SrZr,Sr,Zr,s10,34.46,0.51,0.00
MoRu,Mo,Ru,s10,14.83,0.06,0.00
SNi,S,Ni,s10,19.65,-0.01,0.05
CV,C,V,s10,9.06,0.03,0.00
SeNb,Se,Nb,s10,21.54,-0.52,0.00
ClHo,Cl,Ho,s10,22.84,-1.23,0.00
GeTm,Ge,Tm,s10,22.13,-0.83,0.00
InSn,In,Sn,s10,28.20,0.06,0.00
ClRe,Cl,Re,s10,24.27,0.16,0.73
TcLa,Tc,La,s10,24.27,0.16,0.00
OY,O,Y,s10,14.83,-2.64,0.00
BrLu,Br,Lu,s10,25.22,-0.83,0.00
CsBr,Cs,Br,s10,44.74,-1.73,4.20
VGd,V,Gd,s10,22.99,0.41,0.00
MnYb,Mn,Yb,s10,19.40,0.48,0.00
EuEr,Eu,Er,s10,32.24,-0.01,0.00
CoYb,Co,Yb,s10,18.15,0.07,0.00
EuYb,Eu,Yb,s10,35.16,0.09,0.00
TcEu,Tc,Eu,s10,22.37,0.09,0.00
CrEu,Cr,Eu,s10,21.70,0.49,0.00
BrNi,Br,Ni,s10,27.64,0.05,0.00
IrTb,Ir,Tb,s10,21.61,-0.65,0.00
NaTb,Na,Tb,s10,28.13,-0.06,3.62
BaPt,Ba,Pt,s10,28.94,-0.32,0.00
MgY,Mg,Y,s10,27.98,-0.01,0.00
CsHf,Cs,Hf,s10,45.46,1.13,0.00
FHf,F,Hf,s10,15.86,-1.78,0.00
MnTm,Mn,Tm,s10,19.14,0.18,0.00
MoPt,Mo,Pt,s10,15.43,-0.23,0.00
AlCo,Al,Co,s10,12.08,-0.34,0.00
ClSc,Cl,Sc,s10,19.30,-1.10,0.00
MgBa,Mg,Ba,s10,41.99,0.02,0.00
GeSe,Ge,Se,s10,24.88,-0.16,0.19
YLu,Y,Lu,s10,30.97,0.01,0.00
BBi,B,Bi,s10,20.55,0.97,0.00
InSb,In,Sb,s10,29.37,0.04,0.00
SnSb,Sn,Sb,s10,30.53,0.08,0.00
RbBr,Rb,Br,s10,33.45,-1.96,4.74
AlSb,Al,Sb,s10,23.16,0.13,0.00
LiF,Li,F,s10,9.23,-2.86,7.58
BrCu,Br,Cu,s10,28.03,-0.05,1.03
CsCl,Cs,Cl,s10,40.61,-1.92,4.79
CuAg,Cu,Ag,s10,14.96,0.28,0.00
NiMo,Ni,Mo,s10,13.32,0.22,0.00
CdPb,Cd,Pb,s10,29.23,0.07,0.00
PtFe,Pt,Fe,s10,13.17,0.26,0.00
TlBi,Tl,Bi,s10,33.57,0.03,0.00
NiPt,Ni,Pt,s10,13.29,0.16,0.00
BeO,Be,O,s10,8.38,-2.24,5.18
KF,K,F,s10,29.72,-1.89,4.90
BaS,Ba,S,s10,31.04,-1.87,1.93
SnO,Sn,O,s10,17.85,-1.10,0.81
CaS,Ca,S,s10,22.87,-1.89,2.15
KLi,K,Li,s10,43.59,0.15,0.00
NiRh,Ni,Rh,s10,12.54,0.24,0.00
CAu,C,Au,s10,23.29,1.02,0.00
BrNd,Br,Nd,s10,42.21,-1.06,0.00
CoRh,Co,Rh,s10,12.23,0.17,0.00
NMn,N,Mn,s10,8.45,-2.79,0.00
SrIr,Sr,Ir,s10,23.88,0.24,0.00
TlC,Tl,C,s10,27.02,0.94,1.73
SrMn,Sr,Mn,s10,26.17,0.77,0.00
TiMn,Ti,Mn,s10,13.51,-0.05,0.00
SrCo,Sr,Co,s10,20.79,0.61,0.00
